COMPTE;;INTITULE
10100.0;;CAPITAL
10610;;RESERVE LEGALE
11000;;REPORT A NOUVEAU
11010;;REPORT A NOUVEAU SOLDE CREDITEUR
11200;;AUTRES PRODUITS ET CHARGES
11900;;REPORT A NOUVEAU SOLDE DEBITEUR
12800;;RESULTAT EN INSTANCE
13300;;IMPOTS DIFFERES ACTIFS
16110.0;;EMPRUNT A LT
16510.0;;ENMPRUNT A MOYEN TERME
20124;;FRAIS DE REHABILITATION
20800;;AUTRES IMMOB INCORPORELLES
21100;;TERRAINS
21200;;CONSTRUCTION
21300;;MATERIEL ET OUTILLAGE
21510;;MATERIEL AUTOMOBILE
21520;;MATERIEL MOTO
21600;;AGENCEMENT. AM .INST
21810;;MATERIELS ET MOBILIERS DE BUREAU
21819;;MATERIELS INFORMATIQUES ET AUTRES
21820;;MAT. MOB DE LOGEMENT
21880.0;;AUTRES IMMOBILISATIONS CORP
23000.0;;IMMOBILISATION EN COURS
28000.0;;AMORT IMMOB INCORP
28120;;AMORTISSEMENT DES CONSTRUCTIONS
28130;;AMORT MACH-MATER-OUTIL
28150;;AMORT MAT DE TRANSPORT
28160;;AMORT A.A.I
28181;;AMORT MATERIEL&MOB
28182.0;;AMORTISSEMENTS MATERIELS INFORMATIQ
28183;;AMORT MATER & MOB LOGT
32110;;STOCK MATIERES PREMIERES
35500.0;;STOCK PRODUITS FINIS
37000.0;;STOCK MARCHANDISES
39700.0;;PROVISIONS/DEPRECIATIONS STOCKS
40110.0;;FOURNISSEURS DEXPLOITATIONS LOCAUX
40120.0;;FOURNISSEURS DEXPLOITATIONS ETRANGERS
40310.0;;FOURNISSEURS D'IMMOBILISATION
40810.0;;FRNS: FACTURE A RECEVOIR
40910.0;;FRNS:AVANCES&ACOMPTES VERSER
40980.0;;FRNS: RABAIS A OBTENIR
41110.0;;CLIENTS LOCAUX
41120.0;;CLIENTS ETRANGERS
41400.0;;CLIENTS DOUTEUX
41800.0;;CLIENTS FACTURE A RETABLIR
42100;;PERSONNEL: SALAIRES A PAYER
42510;;PERSONNEL: AVANCES QUINZAINES
42520.0;;PERSONNEL: AVANCES SPECIALES
42860;;PERS:CHARGES  A PAYER
43100;;CNAPS 
